h2p,MIDI,type,comments,min,max
'VCF1_FM2Src',VCF1: FreqMod2Src,d,,0,23
'VCF1_FMDpt',VCF1: FreqModDepth,c,,-120,120
'VCF1_FMSrc',VCF1: FreqModSrc,d,,0,23
'VCF1_FbDpt',VCF1: FeedbackModDepth,c,,-100,100
'VCF1_FbSrc',VCF1: FeedbackModSrc,d,,0,23
'VCF1_Fback',VCF1: Feedback,c,,0,100
'VCF1_FfmDpt',VCF1: FmAmountModDepth,c,,-24,24
'VCF1_FfmSrc',VCF1: FmAmountModSrc,d,,0,23
'VCF1_Freq',VCF1: Frequency,c,,30,150
'VCF1_InTune',x,,only 1,,
'VCF1_KeyScl',VCF1: KeyFollow,c,,0,100
'VCF1_LColor',VCF1: LadderColor,d,,0,1
'VCF1_LMode',VCF1: LadderMode,d,,0,1
'VCF1_Model',VCF1: Model,d,,0,4
'VCF1_Res',VCF1: Resonance,c,,0,100
'VCF1_ResDpt',VCF1: ResModDepth,c,,-100,100
'VCF1_ResSrc',VCF1: ResModSrc,d,,0,23
'VCF1_SMDpt',VCF1: ShapeModDepth,c,,-100,100
'VCF1_SMSrc',VCF1: ShapeModSrc,d,,0,23
'VCF1_ShpMix',VCF1: ShapeMix,c,,0,100
'VCF1_SkRev',VCF1: SlnKyRevision,d,,1,2
'VCF1_SvfMode',VCF1: SvfMode,d,,0,3
